date,from,to
2-Sep,PPT,BOB
2-Sep,PPT,HUH
2-Sep,PPT,RGI
2-Sep,PPT,TIH
6-Sep,BOB,RGI
6-Sep,BOB,HUH
6-Sep,BOB,PPT
6-Sep,RGI,FAV
6-Sep,RGI,TIH
6-Sep,RGI,PPT
6-Sep,TIH,RGI
6-Sep,TIH,PPT
6-Sep,FAV,PPT
6-Sep,HUH,BOB
6-Sep,HUH,PPT
6-Sep,PPT,RGI
6-Sep,PPT,TIH
6-Sep,PPT,HUH
6-Sep,PPT,BOB
10-Sep,BOB,RGI
10-Sep,BOB,HUH
10-Sep,BOB,PPT
10-Sep,RGI,FAV
10-Sep,RGI,PPT
10-Sep,TIH,RGI
10-Sep,FAV,PPT
10-Sep,HUH,BOB
10-Sep,HUH,PPT
10-Sep,PPT,RGI
10-Sep,PPT,TIH
10-Sep,PPT,HUH
10-Sep,PPT,BOB
14-Sep,PPT,RFP
14-Sep,BOB,RFP
14-Sep,HUH,RFP
